belongs_to_collection;budget;first_genre;other_genres;original_language;overview;popularity;company;country;release_date;revenue;runtime;spoken_languages;tagline;title;vote_average;votecount;keywords
Psycho Collection;806948;Drama;Horror Thriller Mystery ;en;When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life  she ends up at the notorious Bates Motel  where manager Norman Bates cares for his housebound mother. The place seems quirky  but fine? until Marion decides to take a shower.;11.667;Shamley Productions;United States of America;1960-06-16;32000000;109;en;A new?and altogether different?screen excitement!!!;Psycho;8.4;4112;hotel clerk arizona shower rain motel taxidermy money secretary corpse murderer theft private detective proto-slasher 
;30000000;Drama;Crime ;en;A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later  where he once again must confront the ghosts and regrets of his old life.;13.525;The Ladd Company;United States of America;1984-05-23;0;229;en;Crime  passion and lust for power.;Once Upon a Time in America;8.4;1872;life and death corruption street gang rape sadistic lovesickness sexual abuse regret prohibition money laundering opium gangster mafia boss murder memory torture new york city brooklyn bridge childhood friends 1920s 1960s 1930s 
;0;Adventure;Comedy ;pt;The lively JoÆo Grilo and the sly Chic¢ are poor guys living in the hinterland who cheat a bunch of people in a small Northeast Brazil town. But when they die  they have to be judged by Christ  the Devil and the Virgin Mary  before they are admitted to paradise.;7.654;Lereby Productions;Brazil;2000-09-15;0;104;pt;;A Dogs Will;8.4;326;brazilian 
;0;Drama;Romance ;it;A filmmaker recalls his childhood  when he fell in love with the movies at his villages theater and formed a deep friendship with the theaters projectionist.;8.418;Rai 3;Italy;1988-11-17;11990401;124;it;A celebration of youth  friendship  and the everlasting magic of the movies.;Cinema Paradiso;8.4;1406;sicily movie business parent child relationship cinema kiss coming of age haunted by the past censorship movie theatre flashback nuovo cinema paradiso 
;55000000;Comedy;Drama Romance ;en;A man with a low IQ has accomplished great things in his life and been present during significant historic events?in each case  far exceeding what anyone imagined he could do. But despite all he has achieved  his one true love eludes him.;23.373;Paramount;United States of America;1994-07-06;677945399;142;en;Life is like a box of chocolates...you never know what youre gonna get.;Forrest Gump;8.4;12533;vietnam veteran hippie washington d.c. mentally disabled based on novel or book parent child relationship vietnam war friendship love family relationships military wounded soldier low iq false history 
;3000000;Drama;;en;While serving time for insanity at a state mental hospital  implacable rabble-rouser  Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse  Mildred Ratched.;16.12;United Artists;United States of America;1975-11-18;108981275;133;en;If hes crazy  what does that make you?;One Flew Over the Cuckoos Nest;8.4;4721;nurse based on novel or book oregon lunatic asylum friendship hospital female villain shock treatment 
;350000;Drama;;en;The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors prejudices and preconceptions about the trial  the accused  and each other.;11.119;United Artists;United States of America;1957-03-25;1000000;97;en;Life is in their hands. Death is on their minds.;12 Angry Men;8.4;3197;judge jurors sultriness death penalty father murder puerto rican anonymity court case heat group class innocence court courtroom 
;25000000;Drama;Crime ;en;The true story of Henry Hill  a half-Irish  half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.;14.361;Winkler Films;United States of America;1990-09-12;46836394;145;it;Three Decades of Life in the Mafia.;GoodFellas;8.4;4818;prison based on novel or book florida 1970s mass murder irish-american drug traffic gangster biography based on a true story murder organized crime gore mafia new york city extreme violence violence brooklyn  new york city crime epic tampa 
;2000000;Action;Drama ;ja;A samurai answers a villages request for protection after he falls on hard times. The town needs protection from bandits  so the samurai gathers six others to help him teach the people how to defend themselves  and the villagers provide the soldiers with food. A giant battle occurs when 40 bandits attack the village.;10.257;Toho Company  Ltd.;Japan;1954-04-26;271841;207;ja;The Mighty Warriors Who Became the Seven National Heroes of a Small Town;Seven Samurai;8.4;1261;japan samurai sword peasant looting rice fencing village epic moral ambiguity battle bandit practice 16th century 
;3300000;Drama;;en;Under the direction of a ruthless instructor  a talented young drummer begins to pursue perfection at any cost  even his humanity.;23.52;Bold Films;United States of America;2014-10-10;13092000;107;en;The road to greatness can take you to the edge.;Whiplash;8.4;6764;jazz obsession conservatory music teacher new york city violence montage drummer public humiliation jazz band young adult music school 
;0;Drama;;it;The incredible true story behind the most controversial Italian court cases in recent years. Stefano Cucchi was arrested for a minor crime and mysteriously found dead during his detention. In one weeks time  a family is changed forever.;11.792;;;2018-08-29;0;100;en;The last seven days of Stefano Cucchi;On My Skin;8.4;732;
;3700000;Animation;Drama War ;ja;In the final months of World War II  14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe  Japan. After a falling out with their aunt  they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted  Seita and Setsuko struggle to survive.;0.6;Studio Ghibli;Japan;1988-04-16;0;89;ja;;Grave of the Fireflies;8.4;1679;sibling relationship hunger world war ii shelter wartime anime orphan siblings children in wartime 
Evangelion Collection;0;Drama;Science Fiction Animation ;ja;The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26  this finale answers many of the questions surrounding the series  while also opening up some new possibilities.;8.131;GAINAX;Japan;1997-07-19;20000000;87;ja;The fate of destruction is also the joy of rebirth;Neon Genesis Evangelion: The End of Evangelion;8.4;254;philosophy post-apocalyptic insanity mecha violence psychological body horror anime 
The Lord of the Rings Collection;94000000;Adventure;Fantasy Action ;en;Aragorn is revealed as the heir to the ancient kings as he  Gandalf and the other members of the broken fellowship struggle to save Gondor from Saurons forces. Meanwhile  Frodo and Sam bring the ring closer to the heart of Mordor  the dark lords realm.;26.412;New Line Cinema;New Zealand;2003-12-01;1118888979;201;en;The eye of the enemy is moving.;The Lord of the Rings: The Return of the King;8.4;11541;elves dwarf orcs middle-earth (tolkien) hobbit based on novel or book suspicion volcano power giant spider bravery war addiction honor royalty troll brutality violence ghost wizard quest sword and sorcery 
The Man With No Name Collection;1200000;Western;;it;While the Civil War rages between the Union and the Confederacy  three men ? a quiet loner  a ruthless hit man and a Mexican bandit ? comb the American Southwest in search of a strongbox containing $200 000 in stolen gold.;14.686;United Artists;United States of America;1966-12-23;6000000;161;it;For three men the Civil War wasnt hell. It was practice.;The Good  the Bad and the Ugly;8.4;3470;bounty hunter refugee gold anti hero gallows hitman army outlaw shootout moral ambiguity spaghetti western 
;1752000;Drama;;en;A hack screenwriter writes a screenplay for a former silent-film star who has faded into Hollywood obscurity.;6.695;Paramount;United States of America;1950-08-10;5000000;110;en;A Hollywood Story;Sunset Boulevard;8.3;872;new years eve screenwriter jealousy butler loss of sense of reality diva hollywood madness aging actor silent film star film noir 
;1500000;Comedy;Drama Romance ;en;City Lights is the first silent film that Charlie Chaplin directed after he established himself with sound accompanied films. The film is about a penniless man who falls in love with a flower girl. The film was a great success and today is deemed a cult classic.;6.517;Charles Chaplin Productions;United States of America;1931-02-26;19181;87;xx;True Blind Love;City Lights;8.3;725;suicide attempt operation blindness and impaired vision love of ones life eye operation flower shop flower girl tramp love black and white millionaire silent film blind girl little tramp 
;0;Drama;Crime ;it;A chief of detectives  homicide section  commits a murder and deliberately leaves clues to prove his own responsibility for the crime.;5.842;Vera Films S.p.a.;Italy;1970-02-09;0;115;it;When youre a big man in the big city  can you get away with murder ?;Investigation of a Citizen Above Suspicion;8.3;185;politics police whodunit crime investigation 
;20000000;Drama;;en;Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother  Danny Vineyards narration  we learn that before going to prison  Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison  Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.;12.196;New Line Cinema;United States of America;1998-10-30;23875127;119;en;Some Legacies Must End.;American History X;8.3;4971;usa neo nazism prison skinhead sibling relationship rape fascism brother basketball jail school swastika los angeles family hate xenophobia interracial friendship nazism 
;2000000;Comedy;;en;Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkels regime.;7.91;Roy Export Company Establishment;United States of America;1940-10-15;11000000;125;en;Once again - the whole world laughs!;The Great Dictator;8.3;1208;germany dictator hairdresser amnesia fascism jewish ghetto world war i jew nazi propaganda national socialism national socialist party speech satire good vs evil barber shop 
;0;Drama;Mystery ;en;Undercurrents of passion  greed  jealousy and intrigue surface in a seemingly respectable town when a high school homecoming queen is found murdered.;7.4;;United States of America;1989-12-31;0;113;en;Who killed Laura Palmer?;Twin Peaks;8.3;209;
;24000000;Fantasy;Animation Adventure ;ja;When Sophie  a shy young woman  is cursed with an old body by a spiteful witch  her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged  walking home.;15.047;Studio Ghibli;Japan;2004-11-19;234710455;119;ja;The two lived there;Howls Moving Castle;8.3;3338;flying witch rain castle scarecrow body exchange hatter bakery demon anime based on young adult novel 
;0;Drama;Mystery Science Fiction Thriller TV Movie ;en;In a mysterious and remote snowy outpost  Matt and Potter share a Christmas meal  swapping creepy tales of their earlier lives in the outside world  but are both men who they appear to be?;6.497;Gran Babieka;United Kingdom;2014-12-16;0;74;en;;Black Mirror: White Christmas;8.3;608;
;0;Action;Drama History ;ja;Aging samurai Hanshiro Tsugumo arrives at the home of Kageyu Saito and asks to commit a ritual suicide on the property  which Saito thinks is a ploy to gain pity and a job. Saito tells Tsugumo of another samurai  Motome Chijiiwa  who threatened suicide as a stratagem  only to be forced to follow through on the task. When Tsugumo reveals that Chijiiwa was his son-in-law  the disclosure sets off a fierce conflict.;7.638;Shochiku Co.  Ltd.;Japan;1962-09-15;0;135;ja;The world has never understood why the Japanese prefer death to dishonor! Winner of Prix Special du Jury at Cannes 1963 provides the answer!!;Harakiri;8.3;203;japan suicide asia samurai revenge poverty seppuku ronin flashback 17th century shogunate 
Star Wars Collection;18000000;Adventure;Action Science Fiction ;en;The epic saga continues as Luke Skywalker  in hopes of defeating the evil Galactic Empire  learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile  rebel leader Princess Leia  cocky Han Solo  Chewbacca  and droids C-3PO and R2-D2 are thrown into various stages of capture  betrayal and despair.;11.35;Lucasfilm;United States of America;1980-05-20;538400000;124;en;The Adventure Continues...;The Empire Strikes Back;8.3;8699;rebel android asteroid space battle snow storm space colony spaceship lightsaber jedi good vs evil rebellion the force space opera stormtrooper wookie jedi master jedi training droid 
;3300000;Drama;Crime ;pt;Cidade de Deus is a shantytown that started during the 1960s and became one of Rio de Janeiro?s most dangerous places in the beginning of the 1980s. To tell the story of this place  the movie describes the life of various characters  all seen by the point of view of the narrator  Buscap‚. Buscap‚ was raised in a very violent environment. Despite the feeling that all odds were against him  he finds out that life can be seen with other eyes...;11.213;O2 Filmes;Brazil;2002-02-05;30641770;130;pt;If you run youre dead... if you stay  youre dead again. Period.;City of God;8.3;2791;street gang photographer brazil rio de janeiro ghetto gang war coming of age woman director 
;26500000;Adventure;Fantasy Animation ;ja;Ashitaka  a prince of the disappearing Ainu tribe  is cursed by a demonized boar god and must journey to the west to find a cure. Along the way  he encounters San  a young human woman fighting to protect the forest  and Lady Eboshi  who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.;13.667;Studio Ghibli;Japan;1997-07-12;159375308;134;ja;The Fate Of The World Rests On The Courage Of One Warrior.;Princess Mononoke;8.3;3185;fight wolf leprosy pan wild boar territory feral child friendship princess good vs evil rural setting decapitation spirit demon deforestation anime 
My Friends Collection;0;Comedy;;it;Like in many other Monicelli movies  the main theme of Amici miei is friendship  seen from a rather bitter point of view. It tells the story of four middle-aged friends in Florence who organize together idle pranks (called zingarate  gypsy shenanigans) in a continuous attempt to prolong childhood during their adult life.;4.554;Rizzoli Film;Italy;1975-06-06;0;140;it;;My Friends;8.3;236;joke male friendship 
;0;Drama;Mystery ;en;Long buried secrets finally come to light as someone has been playing a very long game indeed. Sherlock and John face their greatest ever challenge. Is the game finally over?;5.857;Masterpiece Theatre;United Kingdom;2017-01-15;0;90;en;;Sherlock: The Final Problem;8.3;560;sherlock holmes tv episode 
;0;Science Fiction;Adventure ;en;In 2013  something terrible is awakening in Londons National Gallery in 1562  a murderous plot is afoot in Elizabethan England and somewhere in space an ancient battle reaches its devastating conclusion. All of reality is at stake as the Doctors own dangerous past comes back to haunt him.;6.092;;;2013-11-23;0;77;en;;Doctor Who: The Day of the Doctor;8.3;449;time travel alien 
;0;Family;Animation Romance Comedy ;en;A closeted boy runs the risk of being outed by his own heart after it pops out of his chest to chase down the boy of his dreams.;8.068;Ringling College of Art and Design;United States of America;2017-06-01;0;4;en;The Heart Wants What The Heart Wants;In a Heartbeat;8.3;561;love gay interest teenager lgbt short 
;0;Drama;;it;Spanning four decades  from the chaotic 1960s to the present  director Marco Tullio Giordanas passionate epic La Meglio Gioventu follows two Italian brothers through some of the most tumultuous events of recent Italian history.;5.763;Rai Cinemafiction;Italy;2003-05-19;0;366;it;The Possibilities Were Endless...;The Best of Youth;8.3;171;loss of loved one gangster career society politics family reunion family conflict 
;4900000;Drama;;en;A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and  sometimes  violent.;6.962;T‚l‚film Canada;Canada;2014-05-22;3494070;139;fr;Loving people doesnt save them;Mommy;8.3;1171;parent child relationship canada quebec dysfunctional family single mother institutionalization oedipus complex behavioral disorders 
;935000;Drama;War ;en;During World War I  commanding officer General Broulard orders his subordinate  General Mireau  to attack a German trench position  offering a promotion as an incentive. Though the mission is foolhardy to the point of suicide  Mireau commands his own subordinate  Colonel Dax  to plan the attack. When it ends in disaster  General Mireau demands the court-martial of three random soldiers in order to save face.;5.554;United Artists;United States of America;1957-09-18;0;88;la;It explodes in the no-mans land no picture ever dared cross before!;Paths of Glory;8.3;962;germany france general patriotism world war i song army cowardice soldier cult film 
;0;Drama;History ;ru;An expansive Russian drama  this film focuses on the life of revered religious icon painter Andrei Rublev. Drifting from place to place in a tumultuous era  the peace-seeking monk eventually gains a reputation for his art. But after Rublev witnesses a brutal battle and unintentionally becomes involved  he takes a vow of silence and spends time away from his work. As he begins to ease his troubled soul  he takes steps towards becoming a painter once again.;5.971;Mosfilm;Soviet Union;1966-12-16;0;205;tt;;Andrei Rublev;8.3;223;painter rape russia artist power icon independent film teacher torture middle ages 
;3000000;Drama;Mystery Crime ;en;When Leonard Vole is arrested for the sensational murder of a rich  middle-aged widow  the famous Sir Wilfrid Robarts agrees to appear on his behalf. Sir Wilfrid  recovering from a near-fatal heart attack  is supposed to be on a diet of bland  civil suits ? but the lure of the criminal courts is too much for him  especially when the case is so difficult.;5.857;Edward Small Productions;United States of America;1957-12-17;9000000;116;de;The most electrifying entertainment of our time!;Witness for the Prosecution;8.3;437;nurse alibi german letter widow murder lawyer trial cigarette smoking courtroom murder mystery tiki culture 
;0;Crime;Drama Mystery Thriller ;ja;An executive of a shoe company becomes a victim of extortion when his chauffeurs son is kidnapped and held for ransom.;5.598;Toho Company  Ltd.;Japan;1963-03-01;0;142;ja;From Akira Kurosawa  director of Yojimbo and Sanjuro comes a tense  taut film of a modern perfect crime with more excitement than even Hitchcock could create.;High and Low;8.3;188;manager ransom kidnapping blackmail chauffeur baby-snatching police shoe japanese noir film noir emaciation 
;16400000;Drama;;en;At an elite  old-fashioned boarding school in New England  a passionate English teacher inspires his students to rebel against convention and seize the potential of every day  courting the disdain of the stern headmaster.;13.147;Touchstone Pictures;United States of America;1989-06-02;235860116;128;en;Assume the position.;Dead Poets Society;8.3;4807;individual philosophy poetry shakespeare professor literature friendship teacher school play vermont preparatory school shakespeares a midsummer nights dream 
;0;Drama;;ja;Mr. Watanabe suddenly finds that he has terminal cancer. He vows to make his final days meaningful. His attempts to communicate his anguish to his son and daughter-in-law lead only to heartbreak. Finally  inspired by an unselfish co-worker  he turns his efforts to bringing happiness to others by building a playground in a dreary slum neighborhood. When the park is finally completed  he is able to face death with peaceful acceptance.;6.276;Toho Company  Ltd.;Japan;1952-10-09;55240;143;ja;A big story of a little man which will grip your soul ...;Ikiru;8.3;322;bureaucracy japan age difference bar office night life sense of life playground obsequies swing loneliness infatuation bureaucrat 
;8575000;Thriller;Drama Romance ;ko;1930s Korea  in the period of Japanese occupation  a young woman is hired as a handmaiden to a Japanese heiress who lives a secluded life on a large countryside estate with her domineering uncle. But  the maid has a secret: she is a pickpocket recruited by a swindler posing as a Japanese count to help him seduce the heiress to elope with him  rob her of her fortune  and lock her up in a madhouse. The plan seems to proceed according to plan until the women discover some unexpected emotions.;11.257;CJ Entertainment;South Korea;2016-06-01;1983204;145;ja;;The Handmaiden;8.3;945;sex con man pickpocket lesbian relationship plot lust lesbian sex asian lgbt con woman 
;0;Drama;;ja;The elderly Shukishi and his wife  Tomi  take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son  Koichi  a doctor  and their daughter  Shige  a hairdresser  dont have much time to spend with their aged parents  and so it falls to Noriko  the widow of their younger son who was killed in the war  to keep her in-laws company.;5.185;Shochiku Co.  Ltd.;Japan;1953-11-03;0;134;en;As long as life goes on  relationships between parents and children will bring boundless joy and endless grief.;Tokyo Story;8.3;287;coma beach baby fish boat office baseball classroom dream trip lantern lie ambition water tea song retirement cake marriage peace class swing honor gift teacher school old man 
Call Me by Your Name Collection;4000000;Romance;Drama ;en;Elio Perlman is spending the summer with his family at their vacation home in Lombardy  Italy. When his father hires a handsome doctoral student  the curious 17-year-old finds himself developing a growing attraction to the young man.;16.817;La Cin‚facture;United States of America;2017-09-01;41063475;132;fr;Is it better to speak or die?;Call Me by Your Name;8.3;3660;italy upper class based on novel or book swimming pool love gay relationship coming of age summer teenage boy masturbation first love lgbt jewish family 1980s peach 
;52000000;Drama;Music ;en;Singer Freddie Mercury  guitarist Brian May  drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock n roll band Queen in 1970. Hit songs become instant classics. When Mercurys increasingly wild lifestyle starts to spiral out of control  Queen soon faces its greatest challenge yet ? finding a way to keep the band together amid the success and excess.;157.171;GK Films;United Kingdom;2018-10-24;294080020;135;en;Fearless lives forever;Bohemian Rhapsody;8.3;992;london england 1970s musician biography music based on a true story singer fame rock band music band based on true events 1980s 
;5500000;Animation;Drama Mystery ;en;The film brings the paintings of Vincent van Gogh to life to tell his remarkable story. Every one of the 65 000 frames of the film is an oil-painting hand-painted by 125 professional oil-painters who travelled from all across the world to the Loving Vincent studios in Poland and Greece to be a part of the production. As remarkable as Vincent?s brilliant paintings are his passionate and ill-fated life and mysterious death.;7.743;Breakthru Films;United Kingdom;2017-06-22;6735118;95;en;;Loving Vincent;8.3;920;painter 19th century controversial artist 
;16000000;Thriller;Crime Drama ;fr;Leon  the top hit man in New York  has earned a rep as an effective cleaner. But when his next-door neighbors are wiped out by a loose-cannon DEA agent  he becomes the unwilling custodian of 12-year-old Mathilda. Before long  Mathildas thoughts turn to revenge  and she considers following in Leons footsteps.;19.403;Gaumont;France;1994-09-14;45284974;110;en;If you want a job done well  hire a professional.;Leon: The Professional;8.3;6538;new york corruption loss of loved one assassin police brutality s.w.a.t. immigrant hitman training revenge murder loneliness neighbor tragic love cult film neo-noir complex relationship 
;1000000;Drama;Mystery Thriller ;en;Professional photographer L.B. Jeff Jeffries breaks his leg while getting an action shot at an auto race. Confined to his New York apartment  he spends his time looking out of the rear window observing the neighbors. He begins to suspect that a man across the courtyard may have murdered his wife. Jeff enlists the help of his high society fashion-consultant girlfriend Lisa Freemont and his visiting nurse Stella to investigate.;9.379;Paramount;United States of America;1954-08-01;36764313;112;en;It only takes one witness to spoil the perfect crime.;Rear Window;8.3;2462;nurse photographer suspicion of murder girlfriend neighbor salesman apartment convalescence voyeurism homebound 
The Avengers Collection;300000000;Adventure;Science Fiction Action Fantasy ;en;As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle  a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy  his goal is to collect all six Infinity Stones  artifacts of unimaginable power  and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.;118.016;Marvel Studios;United States of America;2018-04-25;2046239637;149;en;An entire universe. Once and for all.;Avengers: Infinity War;8.3;9360;magic sacrifice superhero based on comic space battlefield genocide magical object super power team aftercreditsstinger marvel cinematic universe cosmic 
;17000000;Comedy;Drama Romance ;en;Everyone deserves a great love story. But for seventeen-year old Simon Spier its a little more complicated: hes yet to tell his family or friends hes gay and he doesnt know the identity of the anonymous classmate hes fallen for online.;18.794;Temple Hill Entertainment;United States of America;2018-02-16;60848932;110;en;Hes done keeping his story straight.;Love  Simon;8.3;2222;gay sexual identity sexuality based on novel or book coming out class high school love homosexuality gay relationship gay interest bully coming of age teen movie teenager youth lgbt lgbt teen based on young adult novel 
;1500000;Drama;Comedy ;en;The Tramp struggles to live in modern industrial society with the help of a young homeless woman.;5.78;United Artists;United States of America;1936-02-05;8500000;87;xx;He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs  cries and thrills to his priceless genius!;Modern Times;8.3;1461;factory ambulance invention tramp great depression industrial revolution slapstick machine pardon guilty 
;33000000;Crime;Mystery Thriller ;en;Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the seven deadly sins in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killers mind  while his novice partner  Mills  scoffs at his efforts to unravel the case.;15.957;Juno Pix;United States of America;1995-09-22;327311859;127;en;Seven deadly sins. Seven ways to die.;Se7en;8.3;9060;self-fulfilling prophecy detective s.w.a.t. drug dealer evisceration lust and impulsiveness rage and hate pride and vanity immoderateness insomnia investigation pension police serial killer 
